gate,label,status,duracao_s,observacao
cannibalization,"Canibalização de intenção",ok,0.6,""
internal-links,"Links internos (strict)",ok,0.6,""
local-interlinking,"Interlinking local mãe ⇄ filhas",ok,8.1,""
editorial-cluster,"Interlinking artigo ⇄ pilar",ok,0.4,""
jsonld,"JSON-LD (validação geral)",ok,24.6,""
jsonld-parity,"Paridade JSON-LD × conteúdo visível",ok,1.3,""
rich-results,"Rich results (strict)",ok,27.2,""
trust-claims,"Claims de confiança e copy proibida",ok,4.2,""
nap,"NAP / WhatsApp oficial",falha,0.4,"> vite_react_shadcn_ts@0.0.0 check:nap | > node scripts/check-nap-whatsapp.mjs |  | BLOQUEADO: confirme o número oficial com --confirm=<numero> antes de rodar o verificador."
sitemap-source,"Manifesto × sitemap",ok,0.5,""
cro-experiment,"Integridade dos experimentos de CRO",ok,0.3,""
experiment-readiness,"Política de prontidão de experimento",ok,0.4,""
experiment-activation,"Ativação auditável de experimento",ok,0.4,""
